Timestamp,ViolationType,Confidence,SnapshotPath
2025-10-03 17:48:47,no_helmet,0.60,snapshots\20251003_174847_no_helmet.jpg
2025-10-03 17:48:47,no_vest,0.54,snapshots\20251003_174847_no_vest.jpg
2025-10-03 17:48:48,no_helmet,0.68,snapshots\20251003_174848_no_helmet.jpg
2025-10-03 17:48:48,no_vest,0.54,snapshots\20251003_174848_no_vest.jpg
2025-10-03 17:48:48,no_helmet,0.69,snapshots\20251003_174848_no_helmet.jpg
2025-10-03 17:48:48,no_vest,0.59,snapshots\20251003_174848_no_vest.jpg
2025-10-03 17:48:49,no_helmet,0.74,snapshots\20251003_174849_no_helmet.jpg
2025-10-03 17:48:49,no_helmet,0.54,snapshots\20251003_174849_no_helmet.jpg
2025-10-03 17:48:50,no_helmet,0.59,snapshots\20251003_174850_no_helmet.jpg
2025-10-03 17:48:50,no_vest,0.58,snapshots\20251003_174850_no_vest.jpg
2025-10-03 17:48:52,no_helmet,0.59,snapshots\20251003_174852_no_helmet.jpg
2025-10-03 17:48:53,no_helmet,0.63,snapshots\20251003_174853_no_helmet.jpg
2025-10-03 17:48:54,no_vest,0.58,snapshots\20251003_174854_no_vest.jpg
2025-10-03 17:48:54,no_helmet,0.55,snapshots\20251003_174854_no_helmet.jpg
2025-10-03 17:48:54,no_vest,0.60,snapshots\20251003_174854_no_vest.jpg
2025-10-03 17:48:54,no_vest,0.53,snapshots\20251003_174854_no_vest.jpg
2025-10-03 17:48:56,no_vest,0.55,snapshots\20251003_174856_no_vest.jpg
2025-10-03 17:48:58,no_vest,0.60,snapshots\20251003_174858_no_vest.jpg
2025-10-03 17:48:58,no_vest,0.53,snapshots\20251003_174858_no_vest.jpg
2025-10-03 17:48:58,no_vest,0.54,snapshots\20251003_174858_no_vest.jpg
2025-10-03 17:48:59,no_vest,0.54,snapshots\20251003_174859_no_vest.jpg
2025-10-03 17:53:21,no_helmet,0.62,snapshots\20251003_175321_no_helmet.jpg
2025-10-03 17:53:22,no_helmet,0.61,snapshots\20251003_175322_no_helmet.jpg
2025-10-03 17:53:23,no_helmet,0.62,snapshots\20251003_175323_no_helmet.jpg
2025-10-03 17:53:24,no_helmet,0.58,snapshots\20251003_175324_no_helmet.jpg
2025-10-03 17:53:24,no_helmet,0.55,snapshots\20251003_175324_no_helmet.jpg
2025-10-03 17:53:25,no_helmet,0.60,snapshots\20251003_175325_no_helmet.jpg
2025-10-03 17:53:26,no_helmet,0.60,snapshots\20251003_175326_no_helmet.jpg
2025-10-03 17:53:27,no_helmet,0.60,snapshots\20251003_175327_no_helmet.jpg
2025-10-03 17:53:27,no_helmet,0.61,snapshots\20251003_175327_no_helmet.jpg
2025-10-03 17:53:28,no_helmet,0.64,snapshots\20251003_175328_no_helmet.jpg
2025-10-03 17:53:29,no_helmet,0.64,snapshots\20251003_175329_no_helmet.jpg
2025-10-03 17:53:30,no_helmet,0.67,snapshots\20251003_175330_no_helmet.jpg
2025-10-03 17:53:31,no_helmet,0.65,snapshots\20251003_175331_no_helmet.jpg
2025-10-03 17:53:31,no_helmet,0.66,snapshots\20251003_175331_no_helmet.jpg
2025-10-03 17:53:32,no_helmet,0.66,snapshots\20251003_175332_no_helmet.jpg
2025-10-03 17:53:32,no_helmet,0.66,snapshots\20251003_175332_no_helmet.jpg
2025-10-03 17:53:33,no_helmet,0.67,snapshots\20251003_175333_no_helmet.jpg
2025-10-03 17:53:34,no_helmet,0.68,snapshots\20251003_175334_no_helmet.jpg
2025-10-03 17:53:35,no_helmet,0.69,snapshots\20251003_175335_no_helmet.jpg
2025-10-03 17:53:35,no_helmet,0.72,snapshots\20251003_175335_no_helmet.jpg
2025-10-03 17:53:36,no_helmet,0.71,snapshots\20251003_175336_no_helmet.jpg
2025-10-03 17:53:37,no_helmet,0.68,snapshots\20251003_175337_no_helmet.jpg
2025-10-03 17:53:38,no_helmet,0.65,snapshots\20251003_175338_no_helmet.jpg
2025-10-03 17:53:39,no_helmet,0.62,snapshots\20251003_175339_no_helmet.jpg
2025-10-03 17:53:40,no_helmet,0.73,snapshots\20251003_175340_no_helmet.jpg
2025-10-03 17:53:41,no_helmet,0.76,snapshots\20251003_175341_no_helmet.jpg
2025-10-03 17:53:42,no_helmet,0.76,snapshots\20251003_175342_no_helmet.jpg
2025-10-03 17:53:42,no_helmet,0.78,snapshots\20251003_175342_no_helmet.jpg
2025-10-03 17:53:43,no_helmet,0.79,snapshots\20251003_175343_no_helmet.jpg
2025-10-03 17:53:44,no_helmet,0.78,snapshots\20251003_175344_no_helmet.jpg
2025-10-03 17:53:44,no_helmet,0.80,snapshots\20251003_175344_no_helmet.jpg
2025-10-03 17:53:45,no_helmet,0.82,snapshots\20251003_175345_no_helmet.jpg
2025-10-03 17:53:46,no_helmet,0.84,snapshots\20251003_175346_no_helmet.jpg
2025-10-03 17:53:46,no_helmet,0.82,snapshots\20251003_175346_no_helmet.jpg
2025-10-03 17:53:47,no_helmet,0.84,snapshots\20251003_175347_no_helmet.jpg
