epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,6249.42,1.06088,1.54691,1.44451,0.64935,0.41153,0.41017,0.26013,1.46382,1.7905,1.72456,0.000420665,0.000420665,0.000420665
57,6360.91,1.05686,1.53076,1.44489,0.65465,0.40574,0.40974,0.26157,1.42699,1.78244,1.71099,0.000413168,0.000413168,0.000413168
58,6472.18,1.06718,1.57586,1.45298,0.65678,0.41455,0.41863,0.26681,1.43799,1.76289,1.72146,0.000405671,0.000405671,0.000405671
59,6584.35,1.04768,1.5145,1.43811,0.65342,0.41706,0.4152,0.26382,1.44155,1.77632,1.7201,0.000398174,0.000398174,0.000398174
60,6695.88,1.0442,1.499,1.43021,0.65848,0.41368,0.41904,0.26611,1.4452,1.769,1.7365,0.000390677,0.000390677,0.000390677
61,6806.07,1.0353,1.49393,1.42497,0.65883,0.41008,0.41289,0.26157,1.45713,1.80754,1.72763,0.00038318,0.00038318,0.00038318
62,6916.27,1.00124,1.45009,1.398,0.66161,0.42203,0.42117,0.26837,1.43974,1.77611,1.73071,0.000375683,0.000375683,0.000375683
63,7027.05,1.02543,1.46504,1.4235,0.65717,0.40874,0.4079,0.25759,1.45452,1.78154,1.72685,0.000368186,0.000368186,0.000368186
64,7137,1.00002,1.44209,1.4007,0.65956,0.42075,0.42211,0.26864,1.44854,1.761,1.73148,0.000360689,0.000360689,0.000360689
65,7247.84,1.00944,1.44063,1.39959,0.64767,0.42729,0.41992,0.26648,1.44968,1.77076,1.74521,0.000353192,0.000353192,0.000353192
66,7358.72,0.99574,1.42735,1.39272,0.6504,0.4172,0.41371,0.26318,1.45337,1.77915,1.74827,0.000345695,0.000345695,0.000345695
67,7469.09,0.98607,1.38968,1.38712,0.65416,0.42735,0.41941,0.26722,1.45923,1.7702,1.75116,0.000338198,0.000338198,0.000338198
68,7579.97,0.99104,1.40559,1.39213,0.65112,0.4167,0.41092,0.26221,1.45756,1.78237,1.73635,0.000330701,0.000330701,0.000330701
69,7690.85,0.98589,1.37893,1.38101,0.66258,0.41464,0.41168,0.26469,1.44776,1.76793,1.75217,0.000323204,0.000323204,0.000323204
