timestamp,violation,confidence,severity,frame,location,person_id,metadata
2025-10-08 04:25:53,NO-Hardhat,0.8609432578086853,High,9,"(0.0,0.0,210.4326171875,104.80441284179688)",2,None
2025-10-08 04:25:53,NO-Mask,0.7981274724006653,Low,9,"(251.85382080078125,30.413436889648438,640.0,325.672119140625)",1,None
2025-10-08 04:25:54,Person,2.0,None,10,"(0,0,0,0)",0,{'total_persons': 2}
2025-10-08 04:25:54,NO-Safety Vest,0.8494618535041809,Medium,10,"(0.0,0.0,324.287841796875,382.8726806640625)",1,None
2025-10-08 04:25:54,NO-Mask,0.7932339310646057,Low,10,"(262.991943359375,32.17787170410156,640.0,298.75823974609375)",2,None
2025-10-08 04:25:54,NO-Mask,0.754929780960083,Low,10,"(51.24824523925781,0.0,370.2366943359375,234.9141845703125)",1,None
2025-10-08 04:25:54,NO-Hardhat,0.7380788326263428,High,10,"(38.8392333984375,0.0,366.25164794921875,111.06791687011719)",1,None
2025-10-08 04:25:55,Person,1.0,None,11,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:25:55,NO-Mask,0.809675931930542,Low,11,"(59.62471008300781,0.0,389.1312255859375,234.37255859375)",1,None
2025-10-08 04:25:55,NO-Hardhat,0.7722375392913818,High,11,"(40.87284851074219,0.0,375.019287109375,111.62130737304688)",1,None
2025-10-08 04:25:56,Person,1.0,None,12,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:25:56,NO-Mask,0.9059779644012451,Low,12,"(60.95159912109375,0.0,395.404541015625,234.00387573242188)",1,None
2025-10-08 04:25:56,NO-Hardhat,0.8491201400756836,High,12,"(45.035919189453125,0.0,384.44146728515625,116.67486572265625)",1,None
2025-10-08 04:25:57,Person,1.0,None,13,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:25:57,NO-Hardhat,0.8622758984565735,High,13,"(40.5264892578125,0.0,381.77825927734375,112.10018920898438)",1,None
2025-10-08 04:25:57,NO-Mask,0.8538297414779663,Low,13,"(55.946197509765625,0.0,393.1037902832031,235.57122802734375)",1,None
2025-10-08 04:25:58,Person,1.0,None,14,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:25:58,NO-Hardhat,0.9238400459289551,High,14,"(48.11395263671875,0.0,397.2335205078125,112.37100219726562)",1,None
2025-10-08 04:25:58,NO-Mask,0.911550760269165,Low,14,"(62.07818603515625,0.0,404.9696044921875,233.32577514648438)",1,None
2025-10-08 04:25:58,NO-Safety Vest,0.7362195253372192,Medium,14,"(0.0,0.0,394.8519287109375,388.01251220703125)",1,None
2025-10-08 04:25:59,Person,1.0,None,15,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:25:59,NO-Hardhat,0.9293789267539978,High,15,"(39.077850341796875,0.0,364.1874084472656,120.94894409179688)",1,None
2025-10-08 04:25:59,NO-Mask,0.7975843548774719,Low,15,"(58.463165283203125,0.0,373.7180480957031,240.0299072265625)",1,None
2025-10-08 04:26:00,Person,0.0,None,16,"(0,0,0,0)",0,{'total_persons': 0}
2025-10-08 04:26:01,Person,1.0,None,17,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:01,NO-Hardhat,0.9197982549667358,High,17,"(31.650344848632812,0.0,344.42791748046875,119.37667846679688)",1,None
2025-10-08 04:26:01,NO-Safety Vest,0.8878737092018127,Medium,17,"(0.0,0.0,334.65325927734375,384.44464111328125)",1,None
2025-10-08 04:26:01,NO-Mask,0.8166569471359253,Low,17,"(55.52484130859375,0.0,364.71197509765625,242.60943603515625)",1,None
2025-10-08 04:26:02,Person,0.0,None,18,"(0,0,0,0)",0,{'total_persons': 0}
2025-10-08 04:26:03,Person,0.0,None,19,"(0,0,0,0)",0,{'total_persons': 0}
2025-10-08 04:26:03,Person,0.0,None,20,"(0,0,0,0)",0,{'total_persons': 0}
2025-10-08 04:26:04,Person,2.0,None,21,"(0,0,0,0)",0,{'total_persons': 2}
2025-10-08 04:26:05,Person,1.0,None,22,"(0,0,0,0)",0,{'total_persons': 1}
2025-10-08 04:26:05,NO-Hardhat,0.8441635370254517,High,22,"(12.3165283203125,0.0,291.31414794921875,132.1900634765625)",1,None
2025-10-08 04:26:05,NO-Safety Vest,0.7860182523727417,Medium,22,"(0.0,0.0,267.13348388671875,387.054443359375)",1,None
